,stand_alone_voltage_pp
783,(131164.11555637865+0j)
784,(131164.11555637865+0j)
785,(131164.11555637865+0j)
786,(131185.9786585747+0j)
787,(131185.9786585747+0j)
788,(131185.9786585747+0j)
789,(131185.9786585747+0j)
790,(131185.9786585747+0j)
791,(131135.09496164715+0j)
792,(131135.09496164715+0j)
793,(131135.09496164715+0j)
794,(131135.09496164715+0j)
795,(131135.09496164715+0j)
796,(131132.43928169436+0j)
797,(131132.43928169436+0j)
798,(131132.43928169436+0j)
799,(131132.43928169436+0j)
800,(131132.43928169436+0j)
801,(131172.14045029075+0j)
802,(131172.14045029075+0j)
803,(131172.14045029075+0j)
804,(131172.14045029075+0j)
805,(131172.14045029075+0j)
806,(131128.85119131856+0j)
807,(131128.85119131856+0j)
808,(131128.85119131856+0j)
809,(131128.85119131856+0j)
810,(131128.85119131856+0j)
811,(131144.0222447612+0j)
812,(131144.0222447612+0j)
813,(131144.0222447612+0j)
814,(131144.0222447612+0j)
815,(131144.0222447612+0j)
816,(131191.55040855202+0j)
817,(131191.55040855202+0j)
818,(131191.55040855202+0j)
819,(131191.55040855202+0j)
820,(131191.55040855202+0j)
821,(131171.42073281048+0j)
822,(131171.42073281048+0j)
823,(131171.42073281048+0j)
824,(131171.42073281048+0j)
825,(131171.42073281048+0j)
826,(131070.07758988613+0j)
827,(131070.07758988613+0j)
828,(131070.07758988613+0j)
829,(131070.07758988613+0j)
830,(131070.07758988613+0j)
831,(131096.35922817013+0j)
832,(131096.35922817013+0j)
833,(131096.35922817013+0j)
834,(131096.35922817013+0j)
835,(131096.35922817013+0j)
836,(131099.52253477526+0j)
837,(131099.52253477526+0j)
838,(131099.52253477526+0j)
839,(131099.52253477526+0j)
840,(131099.52253477526+0j)
841,(131133.50537721545+0j)
842,(131133.50537721545+0j)
843,(131133.50537721545+0j)
844,(131133.50537721545+0j)
845,(131133.50537721545+0j)
846,(131129.87700410123+0j)
847,(131129.87700410123+0j)
848,(131129.87700410123+0j)
849,(131129.87700410123+0j)
850,(131129.87700410123+0j)
851,(131156.87998835955+0j)
852,(131156.87998835955+0j)
853,(131156.87998835955+0j)
854,(131156.87998835955+0j)
855,(131156.87998835955+0j)
856,(131073.9158801188+0j)
857,(131073.9158801188+0j)
858,(131073.9158801188+0j)
859,(131073.9158801188+0j)
860,(131073.9158801188+0j)
861,(131089.28835881792+0j)
862,(131089.28835881792+0j)
863,(131089.28835881792+0j)
864,(131089.28835881792+0j)
865,(131089.28835881792+0j)
866,(131035.46492265482+0j)
867,(131035.46492265482+0j)
868,(131035.46492265482+0j)
869,(131035.46492265482+0j)
870,(131035.46492265482+0j)
871,(130992.37284851211+0j)
872,(130992.37284851211+0j)
873,(130992.37284851211+0j)
874,(130992.37284851211+0j)
875,(130992.37284851211+0j)
876,(130988.01246600335+0j)
877,(130988.01246600335+0j)
878,(130988.01246600335+0j)
879,(130988.01246600335+0j)
880,(130988.01246600335+0j)
881,(130896.32381818484+0j)
882,(130896.32381818484+0j)
883,(130896.32381818484+0j)
884,(130896.32381818484+0j)
885,(130896.32381818484+0j)
886,(130930.17972150158+0j)
887,(130930.17972150158+0j)
888,(130930.17972150158+0j)
889,(130930.17972150158+0j)
890,(130930.17972150158+0j)
891,(130846.78914208505+0j)
892,(130846.78914208505+0j)
893,(130846.78914208505+0j)
894,(130846.78914208505+0j)
895,(130846.78914208505+0j)
896,(130837.14778675965+0j)
897,(130837.14778675965+0j)
898,(130837.14778675965+0j)
899,(130837.14778675965+0j)
900,(130837.14778675965+0j)
901,(130771.94065550301+0j)
902,(130771.94065550301+0j)
903,(130771.94065550301+0j)
904,(130771.94065550301+0j)
905,(130771.94065550301+0j)
906,(130782.98198382751+0j)
907,(130782.98198382751+0j)
908,(130782.98198382751+0j)
909,(130782.98198382751+0j)
910,(130782.98198382751+0j)
911,(130748.66566347111+0j)
912,(130748.66566347111+0j)
913,(130748.66566347111+0j)
914,(130748.66566347111+0j)
915,(130748.66566347111+0j)
916,(130735.02467261531+0j)
917,(130735.02467261531+0j)
918,(130735.02467261531+0j)
919,(130735.02467261531+0j)
920,(130735.02467261531+0j)
921,(130695.6256916207+0j)
922,(130695.6256916207+0j)
923,(130695.6256916207+0j)
924,(130695.6256916207+0j)
925,(130695.6256916207+0j)
926,(130689.14387309179+0j)
927,(130689.14387309179+0j)
928,(130689.14387309179+0j)
929,(130689.14387309179+0j)
